Spec,Gear Type,Phase,Name,Acquisition Type,Quest,Dungeon,Difficulty,Stats,Special,Notes
Balance,Shoulder,PreRaid,Spaulders of the Torn-heart,Quest,The Cipher of Damnation - The Third Fragment Recovered (SMV),,,111 Armor; 10 Sta; 7 Int; 8 Spi; 40 Spell Dmg/Heal,,
Balance,Shoulder,PreRaid,Gladiator's Wyrmhide Spaulders,PvP,,,,331 Armor; 33 Sta; 14 Int; 28 Spell Dmg/Heal; 4 MP5,,
Balance,Back,PreRaid,Cloak of Entropy,Auction House,,,,61 Armor; 11 Int; 25 Spell Dmg/Heal,,World Drop
Balance,Back,PreRaid,Cloak of the Black Void,Auction House,,,,76 Armor; 11 Int; 35 Spell Dmg/Heal,,
Balance,Back,PreRaid,Cloak of the Devoured,Dungeon Drop,,Ahn'Qiraj,Normal,76 Armor; 11 Sta; 10 Int; 30 Spell Dmg/Heal; 8 Spell Hit,,C'Thun
Balance,Back,PreRaid,Cloak of the Necropolis,Dungeon Drop,,Naxxramas,Normal,77 Armor; 12 Sta; 11 Int; 26 Spell Dmg/Heal; 8 Spell Hit; 14 Spell Crit,,Sapphiron
Balance,Back,PreRaid,Sethekk Oracle Cloak,Dungeon Drop,,Sethekk Halls,Normal,78 Armor; 18 Sta; 18 Int; 22 Spell Dmg/Heal,,Talon King Ikiss
Balance,Back,PreRaid,Shawl of Shifting Probabilities,Dungeon Token,,,,93 Armor; 18 Sta; 16 Int; 21 Spell Dmg/Heal,,25 Badges of Justice
Balance,Back,PreRaid,Ogre Slayer's Cover,Quest,Cho'war the Pillager (Nag),,,68 Armor; 18 Int; 11 Spi; 20 Spell Dmg/Heal,,
Balance,Chest,PreRaid,Robe of the Crimson Order,Auction House,,,,152 Armor; 23 Int; 50 Spell Dmg/Heal,,World Drop
Balance,Chest,PreRaid,Spellfire Robe,Auction House,,,,178 Armor; 4 Sta; 17 Int,,
Balance,Chest,PreRaid,Will of Edward the Odd,Auction House,,,,170 Armor; 30 Int; 53 Spell Dmg/Heal,,World Drop
Balance,Chest,PreRaid,Windhawk Hauberk,Auction House,,,,379 Armor; 28 Sta; 29 Int; 29 Spi; 32 Spell Dmg/Heal; 42 Healing; 14 Spell Dmg; 8 MP5,,
Balance,Chest,PreRaid,Incanter's Robe,Dungeon Drop,,Botanica,Normal,156 Armor; 24 Sta; 22 Int; 22 Spi; 29 Spell Dmg/Heal,,Warp Splinter
Balance,Chest,PreRaid,Warp Infused Drape,Dungeon Drop,,Botanica,Normal,156 Armor; 27 Sta; 28 Int; 30 Spell Dmg/Heal,,Warp Splinter
Balance,Chest,PreRaid,Auchenai Anchorite's Robe,Quest (Dung),Everything Will Be Alright (AC),,,136 Armor; 24 Int; 28 Spell Dmg/Heal,,
Balance,Chest,PreRaid,Anchorite's Robes,Reputation,,,,156 Armor; 16 Sta; 38 Int; 18 Spi; 29 Spell Dmg/Heal,,The Aldor - Honored
Balance,Chest,PreRaid,Gladiator's Wyrmhide Tunic,PvP,,,,429 Armor; 42 Sta; 22 Int; 46 Spell Dmg/Heal; 6 MP5,,
Balance,Wrist,PreRaid,Bracers of Havok,Auction House,,,,67 Armor; 12 Int; 30 Spell Dmg/Heal,,
Balance,Wrist,PreRaid,Windhawk Bracers,Auction House,,,,159 Armor; 22 Sta; 17 Int; 7 Spi; 16 Spell Dmg/Heal; 31 Healing; 11 Spell Dmg; 8 MP5,,
Balance,Wrist,PreRaid,Bands of Negation,Dungeon Drop,,Mana Tombs,Heroic,81 Armor; 25 Sta; 22 Int; 29 Spell Dmg/Heal,,Nexus-Prince Shaffar
Balance,Wrist,PreRaid,Bands of Rarefied Magic,Dungeon Drop,,Shattered Halls,Heroic,81 Armor; 22 Sta; 21 Int; 16 Spi; 25 Spell Dmg/Heal,,Warchief Kargath Bladefist
Balance,Wrist,PreRaid,Crimson Bracers of Gloom,Dungeon Drop,,Hellfire Ramparts,Heroic,68 Armor; 18 Sta; 18 Int; 22 Spell Dmg/Heal,,Omor the Unscarred
Balance,Wrist,PreRaid,Shattrath Wraps,Quest (Dung),The Soul Devices (SL),,,68 Armor; 15 Sta; 15 Int; 21 Spell Dmg/Heal,,
Balance,Wrist,PreRaid,Rockfury Bracers,Reputation,,,,48 Armor; 7 Sta; 27 Spell Dmg/Heal; 8 Spell Hit,,Cenarion Circle - Revered
Balance,Wrist,PreRaid,General's Silk Cuffs,PvP,,,,84 Armor; 22 Sta; 17 Int; 20 Spell Dmg/Heal,,
Balance,Hands,PreRaid,Gloves of Pandemonium,Auction House,,,,78 Armor; 15 Int; 25 Spell Dmg/Heal,,World Drop
Balance,Hands,PreRaid,Spellfire Gloves,Auction House,,,,111 Armor; 4 Sta; 10 Int,,
Balance,Hands,PreRaid,Gloves of Oblivion,Dungeon Drop,,Shattered Halls,Normal,97 Armor; 33 Sta; 21 Int; 26 Spell Dmg/Heal,,Warchief Kargath Bladefist
Balance,Hands,PreRaid,Gloves of the Deadwatcher,Dungeon Drop,,Auchenai Crypts,Heroic,97 Armor; 24 Sta; 24 Int; 29 Spell Dmg/Heal,,Shirrak the Dead Watcher
Balance,Hands,PreRaid,Mana-Etched Gloves,Dungeon Drop,,Hellfire Ramparts,Heroic,97 Armor; 25 Sta; 17 Int; 20 Spell Dmg/Heal; 35 Spell Hit,,Omor the Unscarred
Balance,Hands,PreRaid,Manaspark Gloves,Dungeon Drop,,Underbog,Normal,81 Armor; 14 Sta; 14 Int; 10 Spi; 16 Spell Dmg/Heal,,Hungarfen
Balance,Hands,PreRaid,Starlight Gauntlets,Dungeon Drop,,Underbog,Normal,153 Armor; 10 Sta; 21 Int; 8 Spi; 25 Spell Dmg/Heal,,Hungarfen
Balance,Hands,PreRaid,Tempest's Touch,Quest (Dung),Return to Andormu (CoT),,,88 Armor; 10 Sta; 20 Int; 6 Spi; 27 Spell Dmg/Heal,Equip: Increases your spell penetration by 10,
Balance,Waist,PreRaid,Girdle of Ruination,Auction House,,,,100 Armor; 18 Sta; 13 Int; 39 Spell Dmg/Heal,,
Balance,Waist,PreRaid,Spellfire Belt,Auction House,,,,100 Armor; 4 Sta; 18 Int,,
Balance,Waist,PreRaid,Windhawk Belt,Auction House,,,,205 Armor; 17 Sta; 19 Int; 20 Spi; 23 Spell Dmg/Heal; 42 Healing; 14 Spell Dmg; 8 MP5,,
Balance,Waist,PreRaid,Belt of Depravity,Dungeon Drop,,Arcatraz,Heroic,105 Armor; 31 Sta; 27 Int; 34 Spell Dmg/Heal,,Harbinger Skyriss
Balance,Waist,PreRaid,Glyph-Lined Sash,Dungeon Drop,,Mana Tombs,Heroic,88 Armor; 21 Sta; 23 Int; 30 Spell Dmg/Heal,,Nexus-Prince Shaffar
Balance,Waist,PreRaid,Mindfire Waistband,Dungeon Drop,,Blood Furnace,Normal,68 Armor; 10 Sta; 14 Int; 8 Spi; 21 Spell Dmg/Heal,,Keli'dan the Breaker
Balance,Waist,PreRaid,A'dal's Gift,Quest (Dung),How to Break Into the Arcatraz (TK),,,88 Armor; 25 Int; 34 Spell Dmg/Heal,,
Balance,Legs,PreRaid,Spellstrike Pants,Auction House,,,,156 Armor; 12 Sta; 8 Int; 46 Spell Dmg/Heal,,
Balance,Legs,PreRaid,Aran's Sorcerous Slacks,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,136 Armor; 29 Sta; 28 Int; 23 Spell Dmg/Heal,,Lieutenant Drake
Balance,Legs,PreRaid,Breeches of the Occultist,Dungeon Drop,,Black Morass,Heroic,163 Armor; 37 Sta; 22 Int; 36 Spell Dmg/Heal,,Aeonus
Balance,Legs,PreRaid,Khadgar's Kilt of Abjuration,Dungeon Drop,,Black Morass,Normal,133 Armor; 20 Sta; 22 Int; 15 Spi; 36 Spell Dmg/Heal,,Temporus
Balance,Legs,PreRaid,Kirin Tor Master's Trousers,Dungeon Drop,,Shadow Labyrinth,Heroic,163 Armor; 27 Sta; 29 Int; 25 Spi; 36 Spell Dmg/Heal,,Murmur
Balance,Legs,PreRaid,Moonchild Leggings,Dungeon Drop,,Blood Furnace,Heroic,256 Armor; 26 Sta; 20 Int; 19 Spi; 23 Spell Dmg/Heal,,Broggok
Balance,Legs,PreRaid,Haramad's Leggings of the Third Coin,Quest (Dung),Undercutting the Competition (MT),,,219 Armor; 29 Int; 27 Spell Dmg/Heal,,
Balance,Legs,PreRaid,Kurenai Kilt,Reputation,,,,256 Armor; 11 Int; 44 Spell Dmg/Heal,,Kurenai - Revered
Balance,Legs,PreRaid,Tempest Leggings,Reputation,,,,256 Armor; 11 Int; 44 Spell Dmg/Heal,,The Mag'har - Revered
Balance,Feet,PreRaid,Boots of Blasphemy,Dungeon Drop,,Slave Pens,Heroic,128 Armor; 36 Sta; 29 Int; 36 Spell Dmg/Heal,,Quagmirran
Balance,Feet,PreRaid,Boots of Ethereal Manipulation,Dungeon Drop,,Botanica,Heroic,128 Armor; 27 Sta; 27 Int; 21 Spi; 33 Spell Dmg/Heal,,Warp Splinter
Balance,Feet,PreRaid,Embroidered Spellpyre Boots,Dungeon Drop,,Blood Furnace,Heroic,107 Armor; 21 Sta; 21 Int; 41 Spell Dmg/Heal,,Broggok
Balance,Feet,PreRaid,Extravagant Boots of Malice,Dungeon Drop,,Mana Tombs,Heroic,107 Armor; 27 Sta; 24 Int; 30 Spell Dmg/Heal,,Tavarok
Balance,Feet,PreRaid,Moonstrider Boots,Dungeon Drop,,Sethekk Halls,Normal,196 Armor; 21 Sta; 22 Int; 25 Spell Dmg/Heal; 6 MP5,,Darkweaver Syth
Balance,Feet,PreRaid,Sigil-Laced Boots,Dungeon Drop,,Arcatraz,Normal,107 Armor; 24 Sta; 18 Int; 20 Spell Dmg/Heal,,Harbinger Skyriss
Balance,Feet,PreRaid,Boots of the Nexus Warden,Quest,The Flesh Lies... (NS),,,97 Armor; 27 Sta; 17 Int; 21 Spell Dmg/Heal,,
Balance,Feet,PreRaid,Shimmering Azure Boots,Quest,Securing the Celestial Ridge (NS),,,94 Armor; 19 Int; 23 Spell Dmg/Heal; 5 MP5,,
Balance,Feet,PreRaid,Shattrath Jumpers,Quest (Dung),Into the Heart of the Labyrinth (SL),,,107 Armor; 25 Sta; 17 Int; 29 Spell Dmg/Heal,,
Balance,Feet,PreRaid,General's Silk Footguards,PvP,,,,142 Armor; 33 Sta; 23 Int; 28 Spell Dmg/Heal,,
Balance,Neck,PreRaid,Brooch of Heightened Potential,Dungeon Drop,,Shadow Labyrinth,Normal,15 Sta; 14 Int; 22 Spell Dmg/Heal,,Blackheart the Inciter
Balance,Neck,PreRaid,Hydra-fang Necklace,Dungeon Drop,,Underbog,Normal,17 Sta; 16 Int; 19 Spell Dmg/Heal,,Ghaz'an
Balance,Neck,PreRaid,Luminous Pearls of Insight,Dungeon Drop,,Underbog,Normal,15 Int; 25 Spell Dmg/Heal,,Ghaz'an
Balance,Neck,PreRaid,Natasha's Ember Necklace,Quest,The Hound-Master (BEM),,,15 Int; 29 Spell Dmg/Heal,,
Balance,Neck,PreRaid,Torc of the Sethekk Prophet,Quest (Dung),Brother Against Brother (Seth),,,18 Int; 19 Spell Dmg/Heal,,
Balance,Neck,PreRaid,Pendant of Dominance,PvP,,,,31 Sta; 12 Int; 26 Spell Dmg/Heal,,
Balance,Ring,PreRaid,Band of Dominion,Auction House,,,,28 Spell Dmg/Heal,,World Drop
Balance,Ring,PreRaid,Band of the Inevitable,Dungeon Drop,,Naxxramas,Normal,36 Spell Dmg/Heal; 8 Spell Hit,,Noth the Plaguebringer
Balance,Ring,PreRaid,Cobalt Band of Tyrigosa,Dungeon Drop,,Mana Tombs,Heroic,19 Sta; 17 Int; 35 Spell Dmg/Heal,,Nexus-Prince Shaffar
Balance,Ring,PreRaid,Ryngo's Band of Ingenuity,Dungeon Drop,,Arcatraz,Normal,12 Sta; 14 Int; 25 Spell Dmg/Heal,,Wrath-Scryer Soccothrates
Balance,Ring,PreRaid,Sparking Arcanite Ring,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,13 Sta; 14 Int; 22 Spell Dmg/Heal,,Epoch Hunter
Balance,Ring,PreRaid,Ring of Cryptic Dreams,Dungeon Token,,,,16 Sta; 17 Int; 23 Spell Dmg/Heal,,25 Badges of Justice
Balance,Ring,PreRaid,Seal of the Exorcist,Dungeon Token,,,,24 Sta; 28 Spell Dmg/Heal,,50 Spirit Shards
Balance,Ring,PreRaid,Evoker's Mark of the Redemption,Quest,Dissension Amongst the Ranks... (SMV),,,15 Int; 29 Spell Dmg/Heal,,
Balance,Ring,PreRaid,Manastorm Band,Quest,Shutting Down Manaforge Ara (NS),,,15 Int; 29 Spell Dmg/Heal,,
Balance,Ring,PreRaid,Ring of the Fallen God,Quest,The Savior of Kalimdor (AQ),,,5 Sta; 6 Int; 37 Spell Dmg/Heal; 8 Spell Hit,,
Balance,Ring,PreRaid,Ashyen's Gift,Reputation,,,,30 Sta; 23 Spell Dmg/Heal,,Cenarion Expedition - Exalted
Balance,Ring,PreRaid,Seer's Signet,Reputation,,,,24 Sta; 34 Spell Dmg/Heal,,The Scryers - Exalted
Balance,Trinket,PreRaid,Arcanist's Stone,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,167 Spell Dmg/Heal,Use: Increases damage and healing done by magical spells and effects by up to 167 for 20 sec,Epoch Hunter
Balance,Trinket,PreRaid,Briarwood Reed,Dungeon Drop,,Blackrock Spire,Normal,29 Spell Dmg/Heal,,Jed Runewatcher
Balance,Trinket,PreRaid,Neltharion's Tear,Dungeon Drop,,Blackwing Lair,Normal,44 Spell Dmg/Heal; 16 Spell Hit,,Nefarian
Balance,Trinket,PreRaid,Oculus of the Hidden Eye,Dungeon Drop,,Auchenai Crypts,Normal,33 Spell Dmg/Heal,Use: The next opponent you kill within 10 sec that yields experience or honor will restore 900 mana,Shirrak the Dead Watcher
Balance,Trinket,PreRaid,Quagmirran's Eye,Dungeon Drop,,Slave Pens,Heroic,37 Spell Dmg/Heal,,Quagmirran
Balance,Trinket,PreRaid,The Restrained Essence of Sapphiron,Dungeon Drop,,Naxxramas,Normal,40 Spell Dmg/Heal,Use: Increases damage and healing done by magical spells and effects by up to 130 for 20 sec,Sapphiron
Balance,Trinket,PreRaid,Icon of the Silver Crescent,Dungeon Token,,,,43 Spell Dmg/Heal,Use: Increases damage and healing done by magical spells and effects by up to 155 for 20 sec,41 Badges of Justice
Balance,Trinket,PreRaid,Ancient Crystal Talisman,Quest,A Spirit Ally? (ZM),,,26 Spell Dmg/Heal,Use: Increases damage and healing done by magical spells and effects by up to 104 for 20 sec,
Balance,Trinket,PreRaid,Glowing Crystal Insignia,Quest,Overlord Gorefist (ZM),,,26 Spell Dmg/Heal,Use: Increases damage and healing done by magical spells and effects by up to 104 for 20 sec,
Balance,Trinket,PreRaid,Starkiller's Bauble,Quest,The Horrors of Pollution (NS),,,,Use: Increases spell damage by up to 125 for 15 sec,
Balance,Trinket,PreRaid,Terokkar Tablet of Vim,Quest,Torgos! (TF),,,,Use: Increases spell damage by up to 84 and healing by up to 156 for 15 sec,
Balance,Trinket,PreRaid,Scryer's Bloodgem,Reputation,,,,,Use: Increases spell damage by up to 150 and healing by up to 280 for 15 sec,The Scryers - Revered
Balance,Main Hand,PreRaid,Eternium Runed Blade,Auction House,,,,41.76 DPS; 19 Int; 168 Spell Dmg/Heal,,
Balance,Main Hand,PreRaid,Bleeding Hollow Warhammer,Dungeon Drop,,Slave Pens,Heroic,41.25 DPS; 12 Sta; 17 Int; 121 Spell Dmg/Heal,,Quagmirran
Balance,Main Hand,PreRaid,Runesong Dagger,Dungeon Drop,,Shattered Halls,Normal,39.67 DPS; 12 Sta; 11 Int; 121 Spell Dmg/Heal,,Warbringer O'mrogg
Balance,Main Hand,PreRaid,Sky Breaker,Dungeon Drop,,Auchenai Crypts,Heroic,41.11 DPS; 13 Sta; 20 Int; 132 Spell Dmg/Heal,,Avatar of the Martyred
Balance,Main Hand,PreRaid,Starlight Dagger,Dungeon Drop,,Slave Pens,Heroic,41.67 DPS; 15 Sta; 15 Int; 121 Spell Dmg/Heal,,Mennu the Betrayer
Balance,Main Hand,PreRaid,Gavel of Unearthed Secrets,Reputation,,,,41.48 DPS; 24 Sta; 16 Int; 159 Spell Dmg/Heal,,Lower City - Exalted
Balance,Main Hand,PreRaid,High Warlord's Spellblade,PvP,,,,41.56 DPS; 18 Sta; 13 Int; 121 Spell Dmg/Heal,,
Balance,Off Hand,PreRaid,Lamp of Peaceful Radiance,Dungeon Drop,,Arcatraz,Normal,13 Sta; 14 Int; 21 Spell Dmg/Heal,,Harbinger Skyriss
Balance,Off Hand,PreRaid,Manual of the Nethermancer,Dungeon Drop,,Mechanar,Normal,12 Sta; 15 Int; 21 Spell Dmg/Heal,,Nethermancer Sepethrea
Balance,Off Hand,PreRaid,Sapphiron's Left Eye,Dungeon Drop,,Naxxramas,Normal,12 Sta; 8 Int; 26 Spell Dmg/Heal; 8 Spell Hit; 14 Spell Crit,,Sapphiron
Balance,Off Hand,PreRaid,Star-Heart Lamp,Dungeon Drop,,Black Morass,Normal,17 Sta; 18 Int; 22 Spell Dmg/Heal,,Temporus
Balance,Off Hand,PreRaid,Khadgar's Knapsack,Dungeon Token,,,,49 Spell Dmg/Heal,,25 Badges of Justice
Balance,Off Hand,PreRaid,Talisman of Kalecgos,Dungeon Token,,,,14 Int,,25 Badges of Justice
Balance,Off Hand,PreRaid,The Saga of Terokk,Quest (Dung),Terokk's Legacy (Seth),,,23 Int; 28 Spell Dmg/Heal,,
Balance,Two Hand,PreRaid,The Bringer of Death,Auction House,,,,62.92 DPS; 32 Sta; 31 Int; 121 Spell Dmg/Heal,,World Drop
Balance,Two Hand,PreRaid,Bloodfire Greatstaff,Dungeon Drop,,Black Morass,Normal,62.92 DPS; 42 Sta; 42 Int; 121 Spell Dmg/Heal,,Aeonus
Balance,Two Hand,PreRaid,Grand Scepter of the Nexus-Kings,Dungeon Drop,,Mana Tombs,Heroic,62.92 DPS; 45 Sta; 43 Int; 121 Spell Dmg/Heal,,Nexus-Prince Shaffar
Balance,Two Hand,PreRaid,Terokk's Shadowstaff,Dungeon Drop,,Sethekk Halls,Heroic,66.72 DPS; 40 Sta; 42 Int; 168 Spell Dmg/Heal,,Talon King Ikiss
Balance,Two Hand,PreRaid,Warpstaff of Arcanum,Dungeon Drop,,Botanica,Normal,62.92 DPS; 37 Sta; 38 Int; 121 Spell Dmg/Heal,,Warp Splinter
Balance,Two Hand,PreRaid,Auchenai Staff,Reputation,,,,62.62 DPS; 46 Int; 121 Spell Dmg/Heal,,The Aldor - Revered
Balance,Two Hand,PreRaid,Gladiator's War Staff,PvP,,,,68.5 DPS; 48 Sta; 35 Int; 199 Spell Dmg/Heal,,
Balance,Two Hand,PreRaid,High Warlord's War Staff,PvP,,,,63.0 DPS; 40 Sta; 30 Int; 121 Spell Dmg/Heal,,
Balance,Ranged/Relic,PreRaid,Idol of the Moon,Auction House,,,,,Equip: Increases the damage of your Moonfire spell by up to 33,World Drop
Balance,Ranged/Relic,PreRaid,Ivory Idol of the Moongoddess,Dungeon Drop,,Shattered Halls,Normal,,Equip: Increases the damage of your Starfire spell by up to 55,Grand Warlock Nethekurse
Balance,Ranged/Relic,PreRaid,Idol of the Raven Goddess,Quest,Vanquish the Raven God (ZM),,,,,
Bear,Head,PreRaid,Cobrascale Hood,Auction House,,,,271 Armor; 37 Agi; 42 Sta; 74 AP,,
Bear,Head,PreRaid,Wastewalker Helm,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,237 Armor; 30 Sta; 56 AP; 35 Hit,,Epoch Hunter
Bear,Head,PreRaid,Cowl of Beastly Rage,Dungeon Token,,,,423 Armor; 29 Str; 26 Agi; 27 Sta; 20 Int,,50 Badges of Justice
Bear,Head,PreRaid,Mask of the Deceiver,Dungeon Token,,,,283 Armor; 32 Agi; 36 Sta; 64 AP,,50 Badges of Justice
Bear,Head,PreRaid,Helm of the Claw,Quest (Dung),The Warlord's Hideout (SV),,,237 Armor; 25 Agi; 21 Sta; 66 AP,,
Bear,Shoulder,PreRaid,Mantle of Perenolde,Dungeon Drop,,Old Hillsbrad Foothills,Normal,197 Armor; 24 Sta; 20 AP,,Epoch Hunter
Bear,Shoulder,PreRaid,Mantle of Shadowy Embrace,Dungeon Drop,,Blood Furnace,Heroic,262 Armor; 39 Agi; 33 Sta; 34 AP,,Keli'dan the Breaker
Bear,Shoulder,PreRaid,Shoulderpads of Assassination,Dungeon Drop,,Sethekk Halls,Normal,219 Armor; 25 Agi; 25 Sta; 42 AP,,Talon King Ikiss
Bear,Shoulder,PreRaid,Wastewalker Shoulderpads,Dungeon Drop,,Auchenai Crypts,Heroic,219 Armor; 25 Agi; 13 Sta; 34 AP; 35 Hit,,Avatar of the Martyred
Bear,Back,PreRaid,Resolute Cape,Auction House,,,,349 Armor; 30 Sta,,
Bear,Back,PreRaid,Auchenai Death Shroud,Dungeon Drop,,Auchenai Crypts,Heroic,78 Armor; 15 Agi; 15 Sta; 36 AP,,Avatar of the Martyred
Bear,Back,PreRaid,Bogstrok Scale Cloak,Dungeon Drop,,Slave Pens,Normal,271 Armor; 22 Sta,,Rokmar the Crackler
Bear,Back,PreRaid,Thoriumweave Cloak,Dungeon Drop,,Mechanar,Normal,390 Armor; 35 Sta,,Mechano-Lord Capacitus
Bear,Back,PreRaid,Blood Knight War Cloak,Dungeon Token,,,,93 Armor; 23 Agi; 22 Sta; 48 AP,,25 Badges of Justice
Bear,Back,PreRaid,Sergeant's Heavy Cloak,PvP,,,,104 Armor; 27 Sta; 38 AP,,
Bear,Chest,PreRaid,Heavy Clefthoof Vest,Auction House,,,,500 Armor; 20 Str; 45 Sta,,
Bear,Chest,PreRaid,Primalstrike Vest,Auction House,,,,379 Armor; 38 Agi; 39 Sta; 108 AP,,
Bear,Chest,PreRaid,Ghoul Skin Tunic,Dungeon Drop,,Naxxramas,Normal,446 Armor; 40 Str; 22 Sta; 28 Crit,,Trash Drop
Bear,Chest,PreRaid,Tunic of Assassination,Dungeon Drop,,Mechanar,Normal,292 Armor; 28 Agi; 21 Sta; 54 AP,,Pathaleon the Calculator
Bear,Chest,PreRaid,Wastewalker Tunic,Dungeon Drop,,Blood Furnace,Heroic,292 Armor; 28 Agi; 36 Sta; 56 AP; 35 Hit,,Keli'dan the Breaker
Bear,Wrist,PreRaid,Forestheart Bracers,Dungeon Drop,,Shattered Halls,Heroic,237 Armor; 18 Str; 18 Agi; 27 Sta; 16 Int,,Warchief Kargath Bladefist
Bear,Wrist,PreRaid,Umberhowl's Collar,Quest,The Cipher of Damnation - The Third Fragment Recovered (SMV),,,281 Armor; 20 Str; 10 Agi; 22 Sta,,
Bear,Wrist,PreRaid,Marshal's Dragonhide Bracers,PvP,,,,213 Armor; 16 Str; 13 Agi; 22 Sta; 13 Healing; 5 Spell Dmg,,
Bear,Wrist,PreRaid,Marshal's Leather Bracers,PvP,,,,157 Armor; 19 Agi; 25 Sta; 16 AP,,
Bear,Hands,PreRaid,Cobrascale Gloves,Auction House,,,,208 Armor; 33 Sta; 50 AP,,
Bear,Hands,PreRaid,Windslayer Wraps,Auction House,,,,208 Armor; 36 Str; 18 Agi; 25 Sta,,
Bear,Hands,PreRaid,Gloves of the Unbound,Dungeon Drop,,Arcatraz,Normal,183 Armor; 27 Agi; 20 Sta; 38 AP,,Wrath-Scryer Soccothrates
Bear,Hands,PreRaid,Wastewalker Gloves,Dungeon Drop,,Shattered Halls,Normal,183 Armor; 32 Agi; 33 Sta; 16 AP; 35 Hit,,Warchief Kargath Bladefist
Bear,Hands,PreRaid,Flesh Handler's Gauntlets,Quest,The Flesh Lies... (NS),,,165 Armor; 18 Str; 17 Agi; 27 Sta,,
Bear,Hands,PreRaid,Verdant Gloves,Quest,Akama's Promise (SMV),,,393 Armor; 26 Str; 14 Agi; 27 Sta,,
Bear,Waist,PreRaid,Girdle of the Deathdealer,Dungeon Drop,,Black Morass,Heroic,196 Armor; 28 Agi; 28 Sta; 56 AP,,Aeonus
Bear,Waist,PreRaid,Tree-Mender's Belt,Dungeon Drop,,Hellfire Ramparts,Heroic,406 Armor; 27 Str; 27 Agi; 22 Sta; 21 Int,,Vazruden
Bear,Waist,PreRaid,Manimal's Cinch,Quest,Enraged Spirits of Air (SMV),,,348 Armor; 23 Str; 12 Agi; 24 Sta,,
Bear,Waist,PreRaid,General's Leather Belt,PvP,,,,219 Armor; 27 Agi; 39 Sta; 30 AP,,
Bear,Waist,PreRaid,Marshal's Leather Belt,PvP,,,,219 Armor; 27 Agi; 39 Sta; 30 AP,,
Bear,Legs,PreRaid,Heavy Clefthoof Leggings,Auction House,,,,503 Armor; 20 Str; 33 Sta,,
Bear,Legs,PreRaid,Forestwalker Kilt,Dungeon Drop,,Mana Tombs,Heroic,459 Armor; 33 Str; 26 Agi; 24 Sta; 27 Int,,Nexus-Prince Shaffar
Bear,Legs,PreRaid,Midnight Legguards,Dungeon Drop,,Slave Pens,Heroic,305 Armor; 30 Sta; 64 AP,,Quagmirran
Bear,Legs,PreRaid,Ash Tempered Legguards,Quest,Thwart the Dark Conclave (SMV),,,475 Armor; 29 Str; 16 Agi; 31 Sta,,
